model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__LightGBM,buildings_v2,0.8651939589260575,598595,21,5792,1540,131296,459967,False,False,multimodal_all,multimodal
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11e_dietrich28__block_stats__XGBoost,buildings_v2,0.8565190253002182,598595,21,18,7314,58,591205,False,False,multimodal_all,multimodal
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A15_block_stats__block_stats__LightGBM-MIA,buildings_v2,0.8531321209719291,598595,21,5932,1400,134053,457210,False,False,multimodal_all,multimodal
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA,buildings_v2,0.8514322569979395,466704,18,5513,1242,110488,349461,False,False,multimodal_SAR+MS,multimodal
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA,buildings_v2,0.8513759240682441,598595,21,5898,1434,132966,458297,False,False,multimodal_all,multimodal
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA,buildings_v2,0.8471212153619858,466704,18,5515,1240,111536,348413,False,False,multimodal_all,multimodal
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA,buildings_v2,0.8457265262708498,584986,20,5648,1253,127954,450131,False,False,SAR_card+coh,SAR
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11e_dietrich28__block_stats__RF-200,buildings_v2,0.8451876717754665,598595,21,5304,2028,114045,477218,False,False,multimodal_all,multimodal
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA,buildings_v2,0.8449077177721209,466704,18,5505,1250,109465,350484,False,False,multimodal_all,multimodal
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA,buildings_v2,0.8429896872108534,598595,21,5803,1529,167882,423381,False,False,other,other
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,NB11e_dietrich28__block_stats__ExtraTrees,buildings_v2,0.8421503717020633,598595,21,5149,2183,85406,505857,False,False,multimodal_all,multimodal
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA,buildings_v2,0.8409115253590649,480313,19,5912,1274,117834,355293,False,False,multimodal_all,multimodal
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA,buildings_v2,0.8390664994060368,466704,18,5470,1285,109205,350744,False,False,multimodal_all,multimodal
NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA,buildings_v2,0.8323169688840124,598595,21,5997,1335,135261,456002,False,False,multimodal_all,multimodal
NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA,buildings_v2,0.8310469044573365,598595,21,6130,1202,159565,431698,False,False,multimodal_all,multimodal
R5_XGBoost_dietrich28,nb09a;cell=R5,buildings_v2,0.8302795858107583,598595,21,76,7256,278,590985,False,False,other,other
B0_single_s1_coh_drop_countM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.8289973355040072,598595,21,6913,419,266630,324633,False,False,SAR_coh_unsupervised,SAR
B0_single_s1_coh_running_minX,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,buildings_v2,0.823684370220048,598595,21,6918,414,267022,324241,False,False,SAR_coh_unsupervised,SAR
CLF_F7_LightGBM,classifier=LightGBM;parquet=F7,buildings_v2,0.8220932086502869,480313,19,3759,3427,58156,414971,False,False,multimodal_all,multimodal
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200,buildings_v2,0.8209933070364775,598595,21,5697,1635,113094,478169,False,False,multimodal_all,multimodal
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200,buildings_v2,0.8186624404801781,466704,18,5280,1475,93931,366018,False,False,multimodal_all,multimodal
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA,buildings_v2,0.8181719408854559,480313,19,5680,1506,122338,350789,False,False,MS_only,MS
B0_single_s1_coh_running_minM,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,buildings_v2,0.817747463540232,598595,21,6915,417,267024,324239,False,False,SAR_coh_unsupervised,SAR
R5_LightGBM_dietrich28,nb09a;cell=R5,buildings_v2,0.8161540764762641,598595,21,4747,2585,96910,494353,False,False,other,other
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,NB11e_all_multimodal__fusion_composite_blockstats__LightGBM,buildings_v2,0.8130522111837515,480313,19,5672,1514,105550,367577,False,False,multimodal_all,multimodal
