file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_L2b_bldg_reliable__20260425_003200_0c8659.parquet,L2b_bldg_reliable,plausibility_standalone;signal=bldg_reliable;higher_is_damage=True,598595,6854,478,376630,214633
oof_L2b_bldg_reliable__20260429_174010_0c8659.parquet,L2b_bldg_reliable,plausibility_standalone;signal=bldg_reliable;higher_is_damage=True,63243,8247,0,54996,0
oof_L2b_coh_drop__20260425_003200_0c8659.parquet,L2b_coh_drop,plausibility_standalone;signal=coh_drop;higher_is_damage=True,598595,425,6907,324408,266855
oof_L2b_coh_drop__20260429_174010_0c8659.parquet,L2b_coh_drop,plausibility_standalone;signal=coh_drop;higher_is_damage=True,51800,2369,4566,16887,27978
oof_L2b_lu_implausible_damage__20260425_003200_0c8659.parquet,L2b_lu_implausible_damage,plausibility_standalone;signal=lu_implausible_damage;higher_is_damage=False,480313,4832,2354,237423,235704
oof_L2b_lu_plausible_damage__20260425_003200_0c8659.parquet,L2b_lu_plausible_damage,plausibility_standalone;signal=lu_plausible_damage;higher_is_damage=True,480313,1217,5969,94277,378850
oof_L2b_ndvi_delta__20260425_003200_0c8659.parquet,L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,310131,4866,1453,150200,153612
oof_L2b_ndvi_delta__20260429_174010_0c8659.parquet,L2b_ndvi_delta,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False,62043,5202,2878,25820,28143
oof_L2b_plausibility_score__20260425_003200_0c8659.parquet,L2b_plausibility_score,plausibility_standalone;signal=plausibility_score;higher_is_damage=True,598595,4880,2452,284996,306267
oof_L2b_plausibility_score__20260429_174010_0c8659.parquet,L2b_plausibility_score,plausibility_standalone;signal=plausibility_score;higher_is_damage=True,63243,563,7684,3865,51131
oof_L2b_s2__lu__date_persistent_loss__20260429_174010_0c8659.parquet,L2b_s2__lu__date_persistent_loss,plausibility_standalone;signal=s2__lu__date_persistent_loss;higher_is_damage=True,62043,3328,4752,23118,30845
oof_L2b_s2__lu__date_persistent_loss_mean__20260425_003200_0c8659.parquet,L2b_s2__lu__date_persistent_loss_mean,plausibility_standalone;signal=s2__lu__date_persistent_loss_mean;higher_is_damage=True,598595,1878,5454,311949,279314
oof_L2b_s2__lu__loss_count__20260429_174010_0c8659.parquet,L2b_s2__lu__loss_count,plausibility_standalone;signal=s2__lu__loss_count;higher_is_damage=True,62043,4526,3554,32096,21867
oof_L2b_s2__lu__loss_count_mean__20260425_003200_0c8659.parquet,L2b_s2__lu__loss_count_mean,plausibility_standalone;signal=s2__lu__loss_count_mean;higher_is_damage=True,598595,858,6474,299034,292229
oof_L2b_s2__lu__loss_fraction__20260429_174010_0c8659.parquet,L2b_s2__lu__loss_fraction,plausibility_standalone;signal=s2__lu__loss_fraction;higher_is_damage=True,62043,4115,3965,32420,21543
oof_L2b_s2__lu__loss_fraction_mean__20260425_003200_0c8659.parquet,L2b_s2__lu__loss_fraction_mean,plausibility_standalone;signal=s2__lu__loss_fraction_mean;higher_is_damage=True,598595,931,6401,298226,293037
oof_L2b_s2__lu__urban_retained__20260429_174010_0c8659.parquet,L2b_s2__lu__urban_retained,plausibility_standalone;signal=s2__lu__urban_retained;higher_is_damage=False,62043,8080,0,53963,0
oof_L2b_s2__lu__urban_retained_mean__20260425_003200_0c8659.parquet,L2b_s2__lu__urban_retained_mean,plausibility_standalone;signal=s2__lu__urban_retained_mean;higher_is_damage=False,598595,7332,0,591263,0
